Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
501, -4.157,  2.415, -4.995,  -0.118,  0.008, -1.020,  0.022,  0.128, -0.689
502, -4.606,  2.796, -5.458,  -0.087,  0.022, -1.078,  0.023,  0.129, -0.695
503, -3.656,  2.684, -5.077,  -0.114,  0.011, -1.029,  0.026,  0.128, -0.690
504, -4.441,  2.871, -5.196,  -0.124,  0.009, -1.011,  0.023,  0.130, -0.690
505, -3.477,  2.295, -5.009,  -0.141,  0.002, -0.975,  0.019,  0.129, -0.690
506, -4.015,  2.692, -5.323,  -0.113,  0.012, -1.020,  0.025,  0.129, -0.691
507, -4.352,  2.430, -5.264,  -0.119,  0.011, -1.012,  0.026,  0.130, -0.694
508, -4.127,  2.430, -4.740,  -0.101,  0.018, -1.058,  0.021,  0.129, -0.695
509, -3.813,  2.565, -5.294,  -0.119,  0.012, -1.019,  0.025,  0.130, -0.691
510, -4.015,  2.669, -5.264,  -0.121,  0.007, -1.005,  0.026,  0.130, -0.690
511, -3.679,  2.183, -4.995,  -0.112,  0.011, -0.988,  0.026,  0.129, -0.687
512, -5.099,  2.707, -5.181,  -0.096,  0.020, -1.068,  0.026,  0.131, -0.694
513, -4.075,  2.340, -4.800,  -0.119,  0.009, -1.011,  0.020,  0.127, -0.687
514, -4.187,  2.363, -5.069,  -0.107,  0.016, -1.047,  0.023,  0.125, -0.691
515, -4.262,  2.692, -5.241,  -0.116,  0.009, -1.016,  0.026,  0.128, -0.693
516, -4.075,  2.400, -4.890,  -0.137,  0.002, -0.978,  0.024,  0.130, -0.690
517, -3.828,  2.594, -5.092,  -0.122,  0.008, -1.013,  0.026,  0.128, -0.690
518, -4.232,  2.437, -5.331,  -0.123,  0.008, -1.008,  0.025,  0.125, -0.695
519, -3.948,  2.303, -5.398,  -0.126,  0.006, -0.995,  0.024,  0.129, -0.695
520, -3.761,  2.303, -4.905,  -0.095,  0.020, -1.061,  0.020,  0.127, -0.693
521, -3.746,  2.303, -4.897,  -0.117,  0.008, -1.021,  0.024,  0.129, -0.690
522, -4.008,  2.497, -5.054,  -0.112,  0.011, -1.029,  0.026,  0.131, -0.690
523, -4.396,  2.236, -5.032,  -0.120,  0.009, -1.019,  0.025,  0.131, -0.695
