Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
190,-13.099, -1.824, -7.783,  -0.178, -0.044,  1.024,  0.070,  0.003,  0.367
191,-10.348,  0.710, -4.494,  -0.152, -0.054,  0.938,  0.088,  0.018,  0.381
192, -6.303,  2.542,-18.400,  -0.181,  0.098,  0.987,  0.091,  0.003,  0.401
193, -4.434,  3.484, -7.238,  -0.115,  0.029,  0.987,  0.088,  0.005,  0.404
194, -4.793,  3.036, -4.673,  -0.119,  0.031,  0.988,  0.082,  0.005,  0.402
195, -4.808,  3.013, -4.875,  -0.110,  0.039,  0.973,  0.086,  0.005,  0.404
196, -4.621,  2.751, -4.494,  -0.118,  0.035,  0.990,  0.086,  0.005,  0.405
197, -5.952,  2.879, -2.041,  -0.127, -0.055,  0.980,  0.088,  0.002,  0.402
198,-23.627, 11.567,-20.008,  -0.108, -0.112,  1.192,  0.085,  0.032,  0.360
199,  0.606, 18.371, 19.156,  -0.112, -0.115,  1.057,  0.067, -0.003,  0.343
200, -7.626, 16.314, 20.823,  -0.099,  0.084,  0.816,  0.072, -0.029,  0.360
201,-17.354, -9.555, -0.232,  -0.113,  0.168,  0.795,  0.074, -0.033,  0.390
202,-14.154, -3.215,  1.884,  -0.148,  0.111,  1.037,  0.064, -0.032,  0.404
203,  0.224,  1.510,  2.557,  -0.123,  0.110,  1.027,  0.047, -0.046,  0.421
204,  2.064, -6.288,  0.979,  -0.095,  0.133,  1.016,  0.045, -0.055,  0.420
205, -3.170, -4.808, -0.224,  -0.066,  0.238,  1.142,  0.037, -0.053,  0.408
206,  5.974, -1.765,-19.836,  -0.066,  0.248,  0.923,  0.049, -0.047,  0.381
207,  3.245,  1.922,-41.818,  -0.160,  0.044,  0.832,  0.056, -0.028,  0.367
