Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
181,  9.047,-38.064,-11.709,  -0.329,  0.476, -1.335, -0.105, -0.115, -0.340
182,  7.118,-17.316,  1.458,  -0.319,  0.080, -1.257, -0.089, -0.092, -0.352
183,-10.864, -1.189, -1.824,  -0.257,  0.007, -1.229, -0.077, -0.094, -0.373
184, -3.768,  7.163, -0.531,  -0.266,  0.099, -1.013, -0.082, -0.110, -0.373
185,  1.974,  2.108,  2.280,  -0.277,  0.053, -0.924, -0.085, -0.092, -0.357
186, -8.224,  4.008,  1.503,  -0.279,  0.027, -1.049, -0.083, -0.087, -0.358
187, -4.037,  2.198, -1.794,  -0.238,  0.059, -1.142, -0.086, -0.094, -0.369
188, -7.716,  4.157, -5.787,  -0.290,  0.041, -1.010, -0.085, -0.075, -0.381
189, -8.441,  2.437, -5.660,  -0.257,  0.089, -1.061, -0.084, -0.084, -0.377
190,-10.797,  2.879, -4.404,  -0.269,  0.128, -1.127, -0.085, -0.086, -0.375
191,-57.549, 33.354, -4.434,  -0.260,  0.189, -1.360, -0.092, -0.089, -0.367
192,-18.161, 46.954,  5.645,  -0.186,  0.339, -1.522, -0.113, -0.121, -0.330
193,-12.397, 53.467, 22.303,  -0.168,  0.384, -1.144, -0.142, -0.117, -0.327
194, 30.303, 64.936, 31.545,  -0.022,  0.268, -0.903, -0.178, -0.092, -0.317
195, 26.386, 39.223, 21.070,   0.171, -0.104, -0.759, -0.203, -0.045, -0.285
196, -2.019, 32.808, -8.374,   0.172, -0.223, -0.616, -0.214, -0.040, -0.250
197,-18.909,  9.720, -7.297,   0.226,  0.017, -0.477, -0.228, -0.044, -0.274
198, 22.558,-22.752, -8.187,   0.224,  0.069, -1.006, -0.215, -0.048, -0.255
199,  4.262, -7.679,-12.957,   0.215,  0.047, -0.958, -0.214, -0.042, -0.259
200, -9.316, -4.897, -3.282,   0.257,  0.079, -0.999, -0.208, -0.035, -0.268
201, 12.112, -8.606,  2.310,   0.176,  0.256, -0.927, -0.205, -0.048, -0.292
202,  0.187,  5.219, 36.816,   0.179,  0.171, -1.096, -0.199, -0.031, -0.276
203,-23.559,-17.825, 24.823,   0.143,  0.251, -1.087, -0.190, -0.001, -0.283
204,-34.954,-12.636, 49.100,   0.003,  0.300, -0.934, -0.184,  0.009, -0.309
205,-16.913,-10.587, 59.381,   0.079, -0.410, -1.072, -0.168,  0.039, -0.319
206,-58.439, -9.712, 11.851,   0.052, -0.572, -0.770, -0.154,  0.049, -0.313
207, -6.228, -9.226,  3.783,  -0.118, -0.150, -1.056, -0.143,  0.044, -0.333
208,-10.453, -1.338, -1.286,   0.042, -0.257, -0.999, -0.138,  0.042, -0.329
209, -7.305,  5.727, -6.153,   0.072, -0.039, -1.024, -0.141,  0.072, -0.365
210, -9.967,  2.258, -4.284,   0.047,  0.016, -0.947, -0.139,  0.055, -0.341
211,-10.819, -2.579, -4.897,   0.021,  0.090, -0.945, -0.138,  0.051, -0.342
212, 43.896, 16.277, -3.581,  -0.202,  0.496, -0.831, -0.136,  0.051, -0.351
213,-28.554,  0.045, 26.072,  -0.070,  0.176, -0.438, -0.131,  0.066, -0.337
214, -4.254,-36.793, 20.270,  -0.145,  0.072, -0.720, -0.105,  0.098, -0.349
215,  4.052,-72.017,  0.763,  -0.186, -0.100, -1.320, -0.061,  0.103, -0.362
216, -6.781,-35.156,  2.198,  -0.411, -0.038, -1.808, -0.001,  0.119, -0.397
217,-23.103,  0.351, -3.484,  -0.343, -0.054, -1.371,  0.030,  0.100, -0.371
218,-10.258, 10.699, -2.026,  -0.344,  0.049, -0.993,  0.023,  0.077, -0.378
219, -9.249,  7.290, -4.479,  -0.264,  0.044, -1.023,  0.016,  0.081, -0.361
220,-10.311,  1.645, -6.124,  -0.310,  0.076, -0.928,  0.012,  0.063, -0.368
221,-38.341,  5.174, -0.344,  -0.412, -0.086, -0.849,  0.015,  0.083, -0.379
222,-52.330, 16.030,-20.471,  -0.494, -0.333, -1.457,  0.001,  0.038, -0.380
223,-37.279, 60.069,-55.837,  -0.398,  0.010, -1.112, -0.034, -0.006, -0.390
224, -2.490, 46.222,-74.267,  -0.141,  0.176, -0.840, -0.087, -0.027, -0.364
225, 20.726, 16.905,-74.843,  -0.112,  0.373, -0.837, -0.116, -0.054, -0.351
226,-26.027, 23.081,-66.102,  -0.041,  0.233, -0.868, -0.122, -0.091, -0.345
227,-54.454, -9.264,-80.151,  -0.269,  0.257, -0.343, -0.127, -0.142, -0.317
228, 89.378,-33.130,-70.559,  -0.661,  2.000, -1.421, -0.079, -0.181, -0.333
229, 27.582, -5.615,  3.021,  -0.286,  0.215, -0.791, -0.092, -0.190, -0.334
230, 17.017,  9.922, -3.043,  -0.219,  0.263, -0.989, -0.096, -0.166, -0.322
231, 34.864, -0.658, -3.955,  -0.240,  0.285, -1.015, -0.095, -0.113, -0.353
232, 22.752,  2.931,  1.907,  -0.273,  0.190, -0.985, -0.093, -0.110, -0.347
233, 32.539,  1.510, -0.426,  -0.278,  0.088, -0.950, -0.094, -0.071, -0.379
234,  8.374,  6.221,  3.163,  -0.254,  0.032, -0.998, -0.094, -0.075, -0.378
235,  0.890,  4.763, -4.464,  -0.255,  0.035, -0.968, -0.095, -0.070, -0.371
236,  4.269,  1.196, -3.223,  -0.231,  0.088, -1.046, -0.098, -0.067, -0.349
237, -2.049,  1.009, -2.864,  -0.217,  0.022, -1.036, -0.097, -0.065, -0.358
238,  6.490, -5.981, -2.781,  -0.263,  0.090, -1.150, -0.093, -0.049, -0.352
239, 25.503, 32.061, 24.330,  -0.265,  0.106, -2.000, -0.096, -0.046, -0.358
240, 15.051, 89.527, 16.942,  -0.231,  0.175, -1.576, -0.139, -0.020, -0.344
241,-32.337, 70.372,  5.428,  -0.101, -0.111, -0.534, -0.175, -0.006, -0.300
242,-33.092, -3.813,-50.925,  -0.013, -0.165, -0.371, -0.195, -0.009, -0.285
243,-34.476,  1.129, 12.965,   0.201, -0.309, -0.444, -0.190, -0.029, -0.316
244,  1.166, -7.275, -1.279,   0.187, -0.237, -0.872, -0.189, -0.026, -0.312
245, -2.662, -7.709,-11.372,   0.100, -0.197, -0.902, -0.183, -0.009, -0.332
246,  5.241, -4.606, -9.765,   0.059, -0.168, -0.999, -0.182, -0.017, -0.307
247, -1.151,  3.178, -9.510,   0.084, -0.152, -0.909, -0.182, -0.011, -0.339
248, -0.179, -8.531,-16.987,   0.058, -0.110, -0.936, -0.176, -0.008, -0.313
249,-10.774, -4.389, -5.795,  -0.015,  0.236, -1.047, -0.174, -0.014, -0.318
250,-44.061, -1.705, 30.887,  -0.025,  0.791, -0.985, -0.162, -0.029, -0.321
251, -8.621, 10.557, 74.858,  -0.229,  0.369, -1.169, -0.158,  0.005, -0.343
252,-110.829, -6.325,143.106,  -0.435, -0.318, -0.826, -0.140,  0.045, -0.331
253,-23.873,-30.146, 24.337,  -0.189, -0.722, -1.425, -0.095,  0.080, -0.352
254,  8.755,  7.148, -4.239,  -0.153, -0.515, -1.056, -0.093,  0.082, -0.365
255,  6.983, -2.729,-14.602,  -0.115, -0.069, -1.032, -0.092,  0.085, -0.348
256, -2.699,  1.824, -8.553,  -0.138, -0.041, -1.015, -0.087,  0.096, -0.354
257, -1.443,  8.838, -6.886,  -0.111, -0.007, -1.059, -0.094,  0.086, -0.334
258, -7.978,  4.591, -2.153,  -0.070, -0.065, -0.961, -0.098,  0.090, -0.343
259, -4.852,  4.598, -9.578,  -0.109, -0.026, -0.944, -0.091,  0.073, -0.383
260, -9.256,  8.299, -2.953,  -0.100, -0.026, -0.874, -0.097,  0.073, -0.353
261, 41.556, 17.907,  2.011,  -0.084,  0.274, -0.084, -0.103,  0.082, -0.332
262, 20.277,-75.374, 40.083,  -0.222, -0.151, -0.570, -0.058,  0.115, -0.344
263, -3.350,-81.699, 10.954,  -0.727, -0.372, -1.940,  0.021,  0.122, -0.354
264,-39.283, -7.103, 10.707,  -0.675, -0.119, -1.528,  0.150,  0.115, -0.378
265,-15.574,  3.589, -0.299,  -0.483, -0.145, -1.126,  0.192,  0.076, -0.339
266, -5.316,  7.933, -8.142,  -0.488, -0.078, -0.949,  0.195,  0.065, -0.365
267, -4.000, -0.150,-14.221,  -0.454, -0.023, -0.969,  0.196,  0.082, -0.366
268, -7.724,  0.030, -8.808,  -0.451,  0.009, -1.018,  0.200,  0.078, -0.345
269, -9.069, -1.578, -6.109,  -0.452, -0.023, -1.012,  0.201,  0.082, -0.350
270, -4.389,  4.434, -3.918,  -0.470,  0.037, -1.013,  0.200,  0.088, -0.335
271,  2.161, 10.221,  6.602,  -0.385,  0.325, -1.067,  0.200,  0.045, -0.347
272, 22.116, 15.559, 38.947,  -0.530,  0.436, -1.061, -0.291, -0.426, -0.336
273, 27.485, 12.195, 63.186,  -0.548, -0.084, -0.819,  0.033,  0.283, -0.298
