Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
329,  0.852, 11.985,  1.002,  -0.432,  0.005,  1.057, -0.101, -0.394,  0.258
330,-22.789,  7.656,-15.701,  -0.398,  0.213,  0.890, -0.103, -0.426,  0.336
331,  6.295,  8.471, -7.170,  -0.433,  0.113,  1.062, -0.117, -0.443,  0.361
332, -4.531,  7.910, -5.922,  -0.355,  0.193,  0.971, -0.115, -0.453,  0.371
333, -7.081,  2.871, -1.555,  -0.329,  0.103,  0.922, -0.108, -0.459,  0.385
334, -2.707,  9.010, -6.430,  -0.329,  0.089,  0.852, -0.087, -0.475,  0.397
335,  6.565,  8.987, -2.363,  -0.378,  0.133,  1.054, -0.045, -0.535,  0.417
336, -8.501,  0.389, -4.112,  -0.430,  0.115,  0.931, -0.010, -0.522,  0.382
337,-22.453, -6.064, -9.092,  -0.432,  0.075,  0.871, -0.005, -0.452,  0.248
338,-16.666, -7.327, -7.664,  -0.448,  0.135,  0.948, -0.163, -0.372,  0.213
339,-31.649,  5.331, -2.079,  -0.467,  0.002,  0.806, -0.181, -0.341,  0.352
340, -3.866,  1.981, -6.004,  -0.416,  0.021,  1.039, -0.158, -0.368,  0.389
341,-10.684, -2.363,-13.840,  -0.383, -0.042,  0.880, -0.146, -0.366,  0.395
342,  6.572,  4.561,-13.324,  -0.316,  0.146,  0.796, -0.125, -0.359,  0.392
343,  3.342, -0.456, -5.421,  -0.179, -0.003,  1.114, -0.133, -0.337,  0.384
344,-13.540,-15.619,  2.849,  -0.048,  0.031,  0.925, -0.147, -0.311,  0.376
345, 21.571,  4.695, 11.185,  -0.158,  0.081,  1.042, -0.156, -0.319,  0.360
346,  8.950,  0.890,  6.871,  -0.080,  0.052,  0.977, -0.167, -0.333,  0.343
347, 16.651, -8.180, -0.097,  -0.234,  0.024,  1.115, -0.168, -0.334,  0.340
348, -9.122, -1.107,  4.262,  -0.216,  0.050,  0.910, -0.176, -0.326,  0.345
349,-16.157,  3.417, -5.809,  -0.204,  0.046,  0.953, -0.177, -0.323,  0.346
350, -9.765,  1.518, -5.346,  -0.199,  0.001,  0.970, -0.174, -0.322,  0.343
351, -4.598,  1.480, -3.963,  -0.226,  0.019,  0.989, -0.176, -0.323,  0.340
352, -5.510,  1.630, -3.768,  -0.216,  0.020,  0.975, -0.176, -0.325,  0.339
353, -4.000,  1.099, -4.980,  -0.224,  0.032,  0.983, -0.184, -0.324,  0.338
354, -8.426,  1.922, -5.682,  -0.205,  0.011,  0.968, -0.177, -0.321,  0.340
355, -5.152,  3.365, -5.002,  -0.216,  0.018,  0.967, -0.177, -0.325,  0.341
356,-10.939,  9.084, -6.161,  -0.208,  0.018,  0.994, -0.174, -0.320,  0.340
357,-19.731, 13.137,-16.913,  -0.251,  0.033,  1.068, -0.169, -0.317,  0.345
358,-41.317,  9.451,-10.669,  -0.246,  0.013,  1.070, -0.163, -0.299,  0.363
359, -2.953,-10.363, -4.075,  -0.260, -0.065,  1.085, -0.163, -0.299,  0.369
360,  1.929,-20.412,  2.101,  -0.210, -0.107,  1.001, -0.180, -0.312,  0.372
361, -3.611,-19.971,  6.482,  -0.123, -0.109,  0.935, -0.209, -0.308,  0.350
362, 14.273,-11.215, -5.099,  -0.117, -0.063,  0.877, -0.226, -0.317,  0.335
363, -1.458,-10.139,-11.701,  -0.126,  0.016,  0.883, -0.228, -0.325,  0.323
364, -9.167,  0.359,-12.516,  -0.065,  0.112,  0.804, -0.230, -0.329,  0.321
365,  0.030,  8.643, -0.658,  -0.063,  0.001,  0.902, -0.226, -0.337,  0.319
366,  0.411,  8.337, -5.787,  -0.079,  0.051,  0.979, -0.231, -0.335,  0.321
367, -1.832,  3.806, -2.602,  -0.092,  0.026,  0.989, -0.224, -0.335,  0.321
368, -3.290,  1.600, -5.092,  -0.112,  0.061,  0.985, -0.224, -0.338,  0.315
369, -5.929,  1.877, -5.391,  -0.075,  0.061,  0.984, -0.229, -0.339,  0.317
370, -2.520,  5.981, -5.862,  -0.060,  0.062,  0.969, -0.224, -0.346,  0.324
