Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
822, -4.322,  2.370, -4.157,  -0.143,  0.033, -1.014,  0.050, -0.081, -0.259
823, -4.262,  2.714, -4.247,  -0.122,  0.040, -1.046,  0.042, -0.086, -0.258
824, -4.628,  2.886, -4.561,  -0.137,  0.033, -1.019,  0.050, -0.083, -0.260
825, -4.052,  2.408, -4.172,  -0.151,  0.030, -0.986,  0.049, -0.082, -0.258
826, -4.643,  2.654, -4.262,  -0.131,  0.037, -1.033,  0.049, -0.084, -0.261
827, -4.142,  2.153, -4.187,  -0.145,  0.030, -1.001,  0.049, -0.081, -0.259
828, -4.090,  1.884, -4.075,  -0.165,  0.023, -0.958,  0.045, -0.082, -0.259
829, -4.516,  3.133, -4.553,  -0.130,  0.038, -1.039,  0.047, -0.084, -0.261
830, -4.830,  3.051, -4.523,  -0.112,  0.049, -1.064,  0.049, -0.077, -0.261
831, -3.821,  2.318, -4.105,  -0.143,  0.030, -0.997,  0.049, -0.076, -0.263
832, -4.927,  2.953, -4.628,  -0.124,  0.038, -1.043,  0.050, -0.075, -0.263
833, -4.471,  2.968, -4.239,  -0.142,  0.035, -1.012,  0.047, -0.080, -0.264
834, -4.381,  2.400, -4.067,  -0.147,  0.031, -1.000,  0.051, -0.075, -0.265
835, -3.694,  2.265, -4.411,  -0.156,  0.021, -0.967,  0.046, -0.077, -0.262
836, -4.486,  2.034, -3.806,  -0.132,  0.039, -1.015,  0.049, -0.076, -0.266
837, -4.980,  2.789, -4.202,  -0.154,  0.029, -0.995,  0.050, -0.076, -0.264
838, -4.718,  2.774, -4.359,  -0.139,  0.037, -1.015,  0.048, -0.076, -0.261
839, -4.718,  2.609, -4.180,  -0.138,  0.037, -1.028,  0.049, -0.076, -0.263
840, -4.658,  2.998, -4.352,  -0.130,  0.036, -1.029,  0.050, -0.076, -0.259
841, -5.039,  3.073, -4.404,  -0.129,  0.038, -1.029,  0.049, -0.076, -0.265
842, -4.501,  2.677, -4.209,  -0.153,  0.032, -0.993,  0.049, -0.075, -0.262
843, -5.092,  2.953, -4.366,  -0.119,  0.046, -1.063,  0.050, -0.075, -0.263
844, -4.942,  2.946, -4.194,  -0.108,  0.046, -1.071,  0.048, -0.076, -0.263
845, -4.830,  3.021, -4.180,  -0.130,  0.036, -1.026,  0.041, -0.079, -0.259
846, -4.748,  2.826, -4.284,  -0.133,  0.038, -1.030,  0.049, -0.077, -0.263
847, -4.987,  2.961, -4.509,  -0.130,  0.045, -1.043,  0.043, -0.077, -0.259
848, -5.279,  2.998, -4.284,  -0.128,  0.037, -1.036,  0.051, -0.075, -0.264
849, -4.307,  2.542, -4.307,  -0.142,  0.033, -1.006,  0.050, -0.079, -0.263
850, -4.501,  2.789, -4.135,  -0.132,  0.039, -1.020,  0.051, -0.075, -0.263
851, -4.516,  2.609, -4.217,  -0.137,  0.036, -1.029,  0.048, -0.077, -0.264
852, -4.411,  2.295, -4.194,  -0.135,  0.035, -1.020,  0.052, -0.077, -0.258
853, -4.695,  2.789, -4.561,  -0.133,  0.038, -1.026,  0.050, -0.076, -0.264
854, -4.912,  3.103, -4.658,  -0.112,  0.045, -1.069,  0.048, -0.076, -0.264
855, -4.972,  3.170, -4.411,  -0.129,  0.040, -1.045,  0.050, -0.078, -0.261
856, -4.606,  2.565, -3.993,  -0.146,  0.030, -0.998,  0.049, -0.076, -0.263
857, -5.256,  3.260, -4.905,  -0.129,  0.040, -1.033,  0.047, -0.077, -0.265
858, -5.107,  2.647, -4.561,  -0.132,  0.037, -1.033,  0.049, -0.078, -0.265
859, -4.523,  2.841, -4.456,  -0.146,  0.030, -0.992,  0.051, -0.077, -0.259
