Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
44, -4.000,  3.073, -3.895,  -0.046,  0.861,  0.508, -0.099, -0.228,  0.165
45, -4.127,  2.684, -5.181,  -0.043,  0.857,  0.506, -0.098, -0.214,  0.165
46, -3.985,  2.729, -5.181,  -0.051,  0.859,  0.512, -0.097, -0.228,  0.145
47, -4.494,  2.781, -5.107,  -0.046,  0.859,  0.510, -0.100, -0.220,  0.139
48,-17.660,-14.161,  5.503,  -0.031,  0.958,  0.515, -0.099, -0.223,  0.145
49, -3.821,  1.682, -4.523,  -0.028,  0.861,  0.523, -0.100, -0.224,  0.149
50,-14.363, -1.593, -3.821,  -0.019,  0.852,  0.519, -0.102, -0.217,  0.152
51,-10.131,  0.135, -3.230,  -0.034,  0.838,  0.507, -0.102, -0.211,  0.167
52,-78.649, -8.755,-32.808,  -0.027,  0.869,  0.601, -0.106, -0.210,  0.152
53,-22.169, -2.168,-47.567,  -0.092,  0.722,  0.693, -0.102, -0.188,  0.172
54,-17.556,-17.189,-23.597,   0.009,  0.971,  0.296, -0.116, -0.274,  0.080
55,-244.880, 82.095,-101.565,  -0.028,  0.927,  0.170, -0.094, -0.258,  0.140
56, 29.346, 32.105,-13.496,  -0.203,  0.828,  0.659, -0.067, -0.243,  0.171
57, 44.472, 38.595, 88.398,  -0.214,  0.620,  0.645, -0.062, -0.234,  0.178
58,-106.201, -0.553,-10.363,  -0.162,  0.602,  0.663, -0.053, -0.240,  0.201
59,-107.853, -3.776,-23.238,  -0.238,  0.663,  0.660, -0.051, -0.170,  0.238
60,-92.533,-55.612,105.931,  -0.142,  0.414,  0.823, -0.064, -0.071,  0.236
61,-71.561,  7.559, -9.219,   0.056,  0.193,  0.815, -0.073, -0.027,  0.222
62, 29.773,-50.439, -6.520,  -0.083,  0.187,  0.658, -0.084, -0.045,  0.217
63,-85.550,-92.937, 22.887,   0.305,  0.141,  1.098, -0.128,  0.006,  0.159
64,177.126,-29.750, 12.045,   0.395,  0.341,  0.880, -0.154,  0.016,  0.119
65,209.298,-53.870,  3.417,   0.493,  0.308,  0.637, -0.173, -0.078,  0.145
66,244.880, 24.105,-31.148,   0.160,  1.071,  0.307, -0.162, -0.229,  0.076
67,239.983,-20.412, -2.557,   0.253,  0.770, -0.341, -0.156, -0.283, -0.031
68,244.880, 35.642,-56.532,   0.307, -0.078, -0.865, -0.159, -0.193, -0.207
69,133.080, 15.133,-15.200,   0.228, -0.152, -0.882, -0.137, -0.147, -0.250
70, 41.915, -7.275, 32.053,   0.209, -0.503, -0.870, -0.135, -0.079, -0.289
71,  9.510, -4.307,  3.806,   0.230, -0.535, -0.894, -0.131, -0.053, -0.273
72,  3.806,  0.897,  4.576,   0.164, -0.446, -0.914, -0.130, -0.069, -0.285
73,  1.779, -6.034,  4.725,   0.111, -0.468, -0.829, -0.123, -0.057, -0.271
74, -9.010, -9.376, 14.146,   0.086, -0.514, -0.851, -0.120, -0.064, -0.292
75, -9.017,-10.139, 12.120,   0.009, -0.488, -0.897, -0.110, -0.047, -0.293
76,-31.664,-23.784, 11.813,  -0.043, -0.419, -0.861, -0.099, -0.052, -0.289
77,  7.140,-30.932,  7.806,  -0.102, -0.462, -0.912, -0.083, -0.048, -0.296
78,-35.074,-49.915, 25.294,  -0.202, -0.484, -0.758, -0.059, -0.034, -0.303
79,-31.664, -2.116,-20.957,  -0.217, -0.707, -1.133, -0.037, -0.033, -0.308
80,-16.890,  9.817, -8.150,  -0.187, -0.467, -0.882, -0.052, -0.043, -0.300
81,-21.855, 16.935,-26.408,  -0.265, -0.392, -0.949, -0.054, -0.066, -0.287
82,-71.306, 49.923,-45.571,  -0.070, -0.272, -1.059, -0.065, -0.119, -0.293
83, -2.953, 17.219, -7.567,  -0.125, -0.187, -1.005, -0.081, -0.156, -0.270
