ax, ay, az, gx, gy, gz 
  0.327,  0.711, -0.636, -2.677,  -5.473,  14.400
  0.360,  0.708, -0.524,  7.021,  -3.417,  14.273
  0.383,  0.701, -0.627,  0.419,  -4.972,   3.125
  0.305,  0.706, -0.652,  2.101,   5.002,   4.411
  0.009,  0.637, -0.632,  5.294,  -0.164,  24.374
  0.318,  0.582, -0.684,  6.849, -46.289,  48.195
  0.351,  0.543, -0.888, -0.411, -59.029,  41.549
  0.290,  0.559, -0.968, -4.322, -42.289,  33.234
  0.212,  0.503, -0.834, -8.853, -39.178,  36.479
  0.194,  0.391, -0.922, -0.404, -25.212,  46.954
  0.001,  0.284, -0.836, 20.165, -23.724,  47.545
  0.052,  0.339, -0.983, 18.587, -49.482,  67.882
  0.050,  0.155, -1.056, 16.045, -44.809,  82.439
  0.083,  0.085, -1.145, 16.240, -31.193,  77.407
  0.048,  0.035, -1.085, 10.737,  -9.533,  66.065
  0.026, -0.035, -1.029, 16.397, -11.926,  44.943
 -0.018,  0.031, -1.012, 22.415, -15.230,  27.769
 -0.073,  0.042, -1.080,  9.959,  -8.367,  34.072
 -0.100,  0.030, -1.105, -1.510,   4.935,  33.758
 -0.130,  0.102, -1.094,-28.853,  12.524,  18.415
 -0.145,  0.117, -1.052,-29.062,   1.279,  20.150
 -0.115,  0.087, -1.012, -5.600,   5.166,  16.890
 -0.099,  0.123, -1.091, -7.275,  11.537,   9.047
 -0.131,  0.149, -1.044, -2.422,  14.752,   0.531
 -0.131,  0.163, -1.046, -5.824,  11.312, -10.243
 -0.163,  0.190, -1.028,  1.129,  10.819,  -4.075
 -0.177,  0.163, -1.025,  3.080,   2.871,   0.613
 -0.168,  0.112, -1.065, 16.554,   7.851,   8.509
 -0.170,  0.093, -1.041,  0.060,   8.673,   0.516
 -0.206,  0.098, -1.042,  0.920,   6.183,   4.449
 -0.235,  0.089, -1.119, -4.673,  -0.785,   7.858
 -0.265,  0.126, -1.058,  1.391,   3.694,  16.591
 -0.275,  0.090, -1.035,  3.237,   0.127,  29.309
 -0.304,  0.099, -1.037, -2.527,  -2.953,  37.212
 -0.318,  0.094, -0.990,  4.307, -11.133,  46.558
 -0.381,  0.159, -1.032, -5.428, -20.449,  50.199
 -0.373,  0.118, -1.093,-12.142, -22.954,  58.401
 -0.304,  0.137, -1.030,-24.023, -15.028,  53.384
 -0.227,  0.339, -0.913,-51.911, -12.531,  29.354
 -0.228,  0.827, -0.896,-65.220,  -0.150,  95.912
  0.059, -0.369, -0.997, 78.918,  72.921, 238.353
  0.605, -2.000, -0.497,207.579, 132.571, 114.956
 -2.000, -2.000, -2.000,244.880, -244.813, -243.804
